11,1,88,01,01,0,//,//,/,//,/,/,/,01,/,/,/, ,  ,21,/////,               ,
38,1,88,01,19,0,13,30,1,02,1,3,0,03,0,1,1,3,//,08,/////,               ,
04,1,88,01,19,1,14,30,0,06,1,3,0,04,1,4,2,1,//,08,/////,               ,
25,1,88,01,19,0,14,30,1,05,7,3,0,01,1,1,1,3,//,08,/////,f              ,kA
25,1,88,01,19,0,14,30,1,09,7,3,0,03,2,1,1,3,//,08,/////,               ,kA
02,1,88,01,19,0,15,00,1,11,3,5,0,01,1,1,1,3,//,08,/////,d-e-f          ,
02,1,88,01,19,0,15,00,1,11,3,5,0,08,3,0,2,3,//,08,822//,               ,
25,1,88,01,19,0,15,15,1,03,7,3,0,02,1,1,1,3,//,08,/////,               ,kA
25,1,88,01,19,0,15,15,1,12,7,3,0,08,3,0,2,3,//,08,815//,               ,
40,1,88,01,19,0,15,15,/,//,/,/,/,01,/,/,/, ,  ,01,/////,               ,
40,1,88,01,19,0,15,15,/,//,/,/,/,08,/,/,2, ,  ,01,822//,               ,
18,1,88,01,19,1,15,20,1,04,1,1,0,03,1,0,1,3,00,08,/////,               ,
29,1,88,01,19,2,15,20,1,05,6,1,0,08,1,0,2, ,  ,04,808//,               ,
40,1,88,01,19,0,15,20,/,//,/,/,/,05,/,/,/, ,  ,01,/////,               ,
26,1,88,01,19,0,15,40,0,04,/,3,0,01,0,1,1, ,  ,08,/////,c-d-e          ,
26,1,88,01,19,0,15,40,0,04,/,3,0,08,1,0,2, ,  ,08,810//,               ,
16,1,88,01,19,0,15,50,0,03,4,3,0,08,2,0,2, ,//,08,810//,               ,
38,1,88,01,19,0,15,50,1,02,8,3,0,01,0,1,1,3,//,08,/////,d              ,
38,1,88,01,19,0,15,50,1,07,8,3,0,08,2,0,2,3,//,08,810//,               ,
10,1,88,01,19,0,15,55,1,01,2,1,0,08,2,3,2, ,  ,04,803//,               ,
17,1,88,01,19,2,15,55,1,09,6,1,0,08,2,0,2,3,//,07,825//,               ,
27,1,88,01,19,0,15,55,1,07,2,4,0,08,2,4,2, ,//,08,815//,               ,
09,1,88,01,19,1,16,00,0,05,/,3,0,08,2,0,2, ,//,07,820//,               ,
18,1,88,01,19,1,16,00,1,05,1,1,0,08,1,0,1,3,00,08,820//,               ,
25,1,88,01,19,0,16,00,1,01,7,3,0,05,1,1,1,3,//,08,/////,               ,
39,1,88,01,19,0,16,15,/,//,/,/,/,08,0,/,/,1,//,04,801//,               ,kE
18,1,88,01,20,1,07,50,1,04,1,1,0,08,1,0,2,3,00,08,820//,               ,
02,1,88,01,20,0,08,00,0,07,1,3,0,01,0,1,1,3,//,08,/////,               ,
02,1,88,01,20,0,08,00,0,07,1,3,0,05,1,1,1,3,//,08,/////,               ,
02,1,88,01,20,0,08,00,0,//,1,3,0,08,2,0,2,3,//,08,816//,               ,
04,1,88,01,20,2,08,00,0,00,2,3,0,08,1,3,1,2,//,08,801//,               ,
30,1,88,01,20,0,08,10,1,02,4,1,0,01,1,1,2, ,  ,08,/////,               ,
30,1,88,01,20,0,08,10,1,02,4,1,0,05,2,1,1, ,  ,08,/////,               ,
30,1,88,01,20,0,08,10,1,02,4,1,0,08,1,1,2, ,  ,08,810//,               ,
27,1,88,01,20,0,08,15,0,01,2,3,0,01,1,1,1, ,25,08,/////,d              ,
26,1,88,01,20,0,08,25,1,05,6,1,0,01,1,1,1, ,  ,08,/////,b-c-d-e-f      ,
26,1,88,01,20,0,08,25,1,05,6,1,0,05,1,1,1, ,  ,08,/////,               ,
26,1,88,01,20,0,08,25,1,05,6,1,0,08,1,0,2, ,  ,08,815//,               ,
38,1,88,01,20,0,08,25,0,02,6,3,0,01,2,1,1,3,//,08,/////,d              ,
38,1,88,01,20,0,08,25,0,03,6,3,0,05,1,1,1,3,//,08,/////,               ,
25,1,88,01,20,0,08,43,1,//,2,3,0,08,1,0,2,3,//,08,806//,               ,kA kE
38,1,88,01,20,0,13,50,0,01,4,6,0,03,1,1,1,3,//,08,/////,               ,
18,1,88,01,20,1,14,30,1,03,1,1,0,08,1,0,2,3,00,05,805//,               ,
33,1,88,01,20,2,14,40,1,02,4,1,0,03,1,4,2, ,  ,04,/////,               ,
06,1,88,01,21,0,08,05,2,02,6,3,8,08,2,4,2,2,//,04,805//,               ,
29,1,88,01,21,2,08,35,2,02,4,1,7,08,1,0,2, ,  ,04,804//,               ,
10,1,88,01,21,0,08,55,2,02,8,5,8,03,2,1,2,4,//,04,/////,               ,
